9/23/2020 1:51:33 PM,Program state changed to: Active
9/23/2020 1:51:36 PM,Program state changed to: Stop
9/23/2020 1:55:17 PM,Program state changed to: Active
9/23/2020 1:55:20 PM,Program state changed to: Stop
9/23/2020 1:55:23 PM,Program state changed to: Active
9/23/2020 1:55:38 PM,Program state changed to: Stop
9/23/2020 1:55:44 PM,Program state changed to: Active
9/23/2020 1:55:53 PM,Program state changed to: Stop
9/23/2020 1:55:56 PM,Program state changed to: Active
9/23/2020 1:56:26 PM,Program state changed to: Stop
9/23/2020 1:56:29 PM,Program state changed to: Reset
9/23/2020 1:59:40 PM,Program state changed to: Stop
9/23/2020 2:01:07 PM,Program state changed to: Active
9/23/2020 2:01:16 PM,Program state changed to: Stop
9/23/2020 2:01:28 PM,Program state changed to: Active
9/23/2020 2:02:39 PM,Program state changed to: Stop
9/23/2020 2:02:51 PM,Program state changed to: Reset
9/23/2020 2:09:32 PM,Program state changed to: Active
9/23/2020 2:09:47 PM,Program state changed to: Stop
9/23/2020 2:09:53 PM,Program state changed to: Active
9/23/2020 2:10:48 PM,Program state changed to: Stop
9/23/2020 2:10:51 PM,Program state changed to: Active
9/23/2020 2:10:57 PM,Program state changed to: Stop
9/23/2020 2:11:18 PM,Program state changed to: Active
9/23/2020 2:11:27 PM,Program state changed to: Stop
9/23/2020 2:11:48 PM,Program state changed to: Reset
9/23/2020 2:17:41 PM,Program state changed to: Stop
9/23/2020 2:17:44 PM,Program state changed to: Active
9/23/2020 2:17:53 PM,Program state changed to: Stop
9/23/2020 2:18:02 PM,Program state changed to: Active
9/23/2020 2:18:55 PM,Program state changed to: Stop
9/23/2020 2:18:58 PM,Program state changed to: Active
9/23/2020 2:19:20 PM,Program state changed to: Stop
9/23/2020 2:19:23 PM,Program state changed to: Reset
9/23/2020 2:29:09 PM,Program state changed to: Active
9/23/2020 2:29:36 PM,Program state changed to: Stop
9/23/2020 2:29:51 PM,Program state changed to: Active
9/23/2020 2:31:14 PM,Program state changed to: Stop
9/23/2020 2:31:30 PM,Program state changed to: Active
9/23/2020 2:31:33 PM,Program state changed to: Stop
9/23/2020 2:32:51 PM,Program state changed to: Reset
9/23/2020 2:33:13 PM,Program state changed to: Active
9/23/2020 2:33:28 PM,Program state changed to: Stop
9/23/2020 2:36:26 PM,Program state changed to: Reset
9/23/2020 2:36:35 PM,Program state changed to: Stop
9/23/2020 2:36:38 PM,Program state changed to: Active
9/23/2020 2:36:47 PM,Program state changed to: Stop
9/23/2020 2:37:45 PM,Program state changed to: Active
9/23/2020 2:38:58 PM,Program state changed to: Stop
9/23/2020 2:39:13 PM,Program state changed to: Active
9/23/2020 2:39:16 PM,Program state changed to: Stop
9/23/2020 2:39:22 PM,Program state changed to: Active
9/23/2020 2:40:49 PM,Program state changed to: Stop
9/23/2020 2:40:55 PM,Program state changed to: Active
9/23/2020 2:40:58 PM,Program state changed to: Stop
9/23/2020 2:42:20 PM,Program state changed to: Active
9/23/2020 2:42:30 PM,Program state changed to: Stop
