9/23/2020 1:34:00 PM,Loaded file:E:\00222936.src
9/23/2020 1:34:03 PM,Starting program:E:\00222936.src
9/23/2020 1:34:09 PM,Completed program: E:\00222936.src
9/23/2020 1:38:24 PM,Loaded file:K:\00222936.src
9/23/2020 1:39:26 PM,Loaded file:K:\00222936.src
9/23/2020 1:39:27 PM,Starting program:K:\00222936.src
9/23/2020 1:39:31 PM,Completed program: K:\00222936.src
9/23/2020 1:39:52 PM,Loaded file:K:\00222936.src
9/23/2020 1:39:53 PM,Starting program:K:\00222936.src
9/23/2020 1:39:57 PM,Completed program: K:\00222936.src
9/23/2020 1:41:05 PM,Loaded file:K:\00222936.src
9/23/2020 1:41:06 PM,Starting program:K:\00222936.src
9/23/2020 1:41:10 PM,Completed program: K:\00222936.src
9/23/2020 1:48:29 PM,Loaded file:K:\00222936.src
9/23/2020 1:48:29 PM,Starting program:K:\00222936.src
9/23/2020 1:48:33 PM,Completed program: K:\00222936.src
9/23/2020 1:55:39 PM,Loaded file:K:\00222936.src
9/23/2020 1:55:40 PM,Starting program:K:\00222936.src
9/23/2020 1:56:24 PM,Completed program: K:\00222936.src
9/23/2020 2:01:23 PM,Loaded file:K:\00222936.src
9/23/2020 2:01:24 PM,Starting program:K:\00222936.src
9/23/2020 2:02:15 PM,Completed program: K:\00222936.src
9/23/2020 2:09:51 PM,Loaded file:K:\00222936.src
9/23/2020 2:09:52 PM,Starting program:K:\00222936.src
9/23/2020 2:10:38 PM,Completed program: K:\00222936.src
9/23/2020 2:17:59 PM,Loaded file:K:\00222936.src
9/23/2020 2:18:00 PM,Starting program:K:\00222936.src
9/23/2020 2:18:52 PM,Completed program: K:\00222936.src
9/23/2020 2:29:46 PM,Loaded file:K:\00222936.src
9/23/2020 2:29:47 PM,Starting program:K:\00222936.src
9/23/2020 2:36:32 PM,Loaded file:K:\00222936.src
9/23/2020 2:36:33 PM,Starting program:K:\00222936.src
9/23/2020 2:37:42 PM,Loaded file:K:\00222936.src
9/23/2020 2:37:43 PM,Starting program:K:\00222936.src
9/23/2020 2:46:29 PM,Loaded file:K:\00222936.src
9/23/2020 2:46:30 PM,Starting program:K:\00222936.src
9/23/2020 3:06:25 PM,Loaded file:K:\00222936.src
9/23/2020 3:06:26 PM,Starting program:K:\00222936.src
9/23/2020 4:24:33 PM,Loaded file:K:\00222936.src
9/23/2020 4:24:34 PM,Starting program:K:\00222936.src
9/23/2020 4:26:42 PM,Completed program: K:\00222936.src
9/23/2020 4:28:47 PM,Loaded file:K:\00222936.src
9/23/2020 4:28:48 PM,Starting program:K:\00222936.src
9/23/2020 4:30:37 PM,Completed program: K:\00222936.src
9/23/2020 4:35:24 PM,Loaded file:K:\00222936.src
9/23/2020 4:35:25 PM,Starting program:K:\00222936.src
9/23/2020 4:37:22 PM,Completed program: K:\00222936.src
9/23/2020 4:40:10 PM,Loaded file:K:\00222936.src
9/23/2020 4:40:11 PM,Starting program:K:\00222936.src
9/23/2020 4:42:50 PM,Completed program: K:\00222936.src
9/24/2020 6:03:06 PM,Loaded file:K:\00222936.src
9/24/2020 6:03:17 PM,Starting program:K:\00222936.src
9/24/2020 6:05:40 PM,Completed program: K:\00222936.src
9/24/2020 6:24:59 PM,Loaded file:K:\00222936.src
9/24/2020 6:25:06 PM,Starting program:K:\00222936.src
9/24/2020 6:30:25 PM,Loaded file:K:\00222936.src
9/24/2020 6:30:31 PM,Starting program:K:\00222936.src
9/24/2020 6:32:01 PM,Completed program: K:\00222936.src
6/25/2024 4:44:43 PM,Loaded file:E:\NoName.src
6/25/2024 4:44:47 PM,Starting program:E:\NoName.src
6/25/2024 5:13:38 PM,Loaded file:E:\NoName.src
6/25/2024 5:13:41 PM,Starting program:E:\NoName.src
6/25/2024 5:29:24 PM,Loaded file:E:\NoName2.src
6/25/2024 5:29:26 PM,Starting program:E:\NoName2.src
6/25/2024 5:38:17 PM,Completed program: E:\NoName2.src
6/27/2024 3:16:42 PM,Loaded file:E:\Mary_Virgin_Statue.src
6/27/2024 3:17:02 PM,Starting program:E:\Mary_Virgin_Statue.src
6/27/2024 3:45:15 PM,Loaded file:E:\Mary_Virgin_Statue.src
6/27/2024 3:45:34 PM,Starting program:E:\Mary_Virgin_Statue.src
6/28/2024 9:12:20 AM,Loaded file:E:\Mary_Virgin_Statue.src
6/28/2024 9:12:47 AM,Starting program:E:\Mary_Virgin_Statue.src
6/28/2024 10:10:52 PM,Completed program: E:\Mary_Virgin_Statue.src
6/29/2024 8:30:20 AM,Loaded file:E:\Mary_Virgin_Statue.src
6/29/2024 8:31:13 AM,Starting program:E:\Mary_Virgin_Statue.src
6/29/2024 7:24:53 PM,Completed program: E:\Mary_Virgin_Statue.src
7/3/2024 8:38:32 AM,Loaded file:E:\Spianatura.src
7/3/2024 8:39:42 AM,Loaded file:E:\Spianatura.src
7/3/2024 10:34:12 AM,Loaded file:E:\Spianatura.src
7/3/2024 10:42:52 AM,Loaded file:E:\Spianatura.src
7/3/2024 10:42:56 AM,Starting program:E:\Spianatura.src
7/3/2024 11:21:09 AM,Completed program: E:\Spianatura.src
7/3/2024 3:34:48 PM,Loaded file:E:\Franchi 2.src
7/3/2024 3:36:36 PM,Starting program:E:\Franchi 2.src
7/4/2024 8:47:41 AM,Completed program: E:\Franchi 2.src
7/4/2024 11:22:53 AM,Loaded file:E:\Franchi 2.src
7/4/2024 11:23:34 AM,Starting program:E:\Franchi 2.src
7/4/2024 4:23:53 PM,Completed program: E:\Franchi 2.src
7/4/2024 5:08:00 PM,Loaded file:E:\Franchi 2.src
